id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
13815077,JJ228927,2025-04-23 00:00:00,003XX E 84TH ST,0460,BATTERY,SIMPLE,SCHOOL - PUBLIC GROUNDS,False,False,632,6,6,44,08B,1179729.0,1849371.0,2025,2025-04-30T15:40:44.000,41.741949408,-87.617054222,"
,  
(41.741949408, -87.617054222)"
13815089,JJ229130,2025-04-23 00:00:00,001XX E SUPERIOR ST,0261,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - HANDGUN,HOTEL / MOTEL,False,False,1833,18,2,8,02,1177508.0,1905401.0,2025,2025-04-30T15:40:44.000,41.895750913,-87.623495923,"
,  
(41.895750913, -87.623495923)"
13814553,JJ228348,2025-04-23 00:00:00,0000X W CHESTNUT ST,0583,STALKING,CYBERSTALKING,APARTMENT,False,True,1832,18,42,8,08A,1175936.0,1906207.0,2025,2025-04-30T15:40:44.000,41.897998161,-87.629245169,"
,  
(41.897998161, -87.629245169)"
13820835,JJ236276,2025-04-23 00:00:00,001XX N LECLAIRE AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,False,False,1532,15,28,25,11,,,2025,2025-04-30T15:40:44.000,,,
13818089,JJ233007,2025-04-23 00:00:00,087XX S EXCHANGE AVE,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,False,False,423,4,10,46,07,1197281.0,1847639.0,2025,2025-04-30T15:40:44.000,41.736777767,-87.552802808,"
,  
(41.736777767, -87.552802808)"
13814314,JJ228332,2025-04-23 00:00:00,0000X E ONTARIO ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1834,18,42,8,07,1176399.0,1904492.0,2025,2025-04-30T15:40:44.000,41.893281677,-87.627596446,"
,  
(41.893281677, -87.627596446)"
13820598,JJ236095,2025-04-23 00:00:00,063XX N OAKLEY AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,2413,24,50,2,26,,,2025,2025-04-30T15:40:44.000,,,
13815898,JJ230275,2025-04-23 00:00:00,034XX W LEXINGTON ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,1133,11,24,27,26,1153556.0,1896489.0,2025,2025-04-30T15:40:44.000,41.871805565,-87.711703461,"
,  
(41.871805565, -87.711703461)"
13814950,JJ228635,2025-04-23 00:00:00,048XX N KENMORE AVE,0810,THEFT,OVER $500,STREET,False,False,2024,20,46,3,06,1168376.0,1932523.0,2025,2025-04-30T15:40:44.000,41.970377425,-87.656248794,"
,  
(41.970377425, -87.656248794)"
13816692,JJ231363,2025-04-23 00:00:00,063XX S ADA ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,724,7,16,67,07,1168415.0,1862698.0,2025,2025-04-30T15:40:44.000,41.778771405,-87.658125138,"
,  
(41.778771405, -87.658125138)"
13814356,JJ228358,2025-04-23 00:00:00,012XX S LAWNDALE AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,1011,10,24,29,05,1151904.0,1894156.0,2025,2025-04-30T15:40:44.000,41.86543622,-87.717830078,"
,  
(41.86543622, -87.717830078)"
13814068,JJ228106,2025-04-23 00:00:00,014XX N LAWLER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2533,25,37,25,14,1142439.0,1909183.0,2025,2025-04-30T15:40:44.000,41.906853097,-87.752203302,"
,  
(41.906853097, -87.752203302)"
13817322,JJ232073,2025-04-23 00:00:00,002XX E HURON ST,0820,THEFT,$500 AND UNDER,HOSPITAL BUILDING / GROUNDS,False,False,1834,18,2,8,06,1178046.0,1905133.0,2025,2025-04-30T15:40:44.000,41.895003278,-87.62152816,"
,  
(41.895003278, -87.62152816)"
13814819,JJ229058,2025-04-23 00:00:00,015XX W CHESTNUT ST,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,1213,12,1,24,07,1165917.0,1906095.0,2025,2025-04-30T15:40:44.000,41.897910558,-87.666047012,"
,  
(41.897910558, -87.666047012)"
