antecedents,consequents,support,confidence,lift
NARCOTICS,"Weekday, ARREST_YES",0.034,0.8947368421052633,5.69896077774053
NARCOTICS,ARREST_YES,0.034,0.8947368421052633,5.69896077774053
"Weekday, NARCOTICS",ARREST_YES,0.034,0.8947368421052633,5.69896077774053
"MOTOR VEHICLE THEFT, Minggu_4","ARREST_NO, STREET",0.03,0.75,3.4722222222222223
"Weekday, MOTOR VEHICLE THEFT, Minggu_4","ARREST_NO, STREET",0.03,0.75,3.4722222222222223
"MOTOR VEHICLE THEFT, Minggu_4","Weekday, STREET, ARREST_NO",0.03,0.75,3.4722222222222223
"Weekday, SMALL RETAIL STORE",THEFT,0.03,0.7692307692307692,3.1269543464665412
SMALL RETAIL STORE,"Weekday, THEFT",0.03,0.7692307692307692,3.1269543464665412
SMALL RETAIL STORE,THEFT,0.03,0.7692307692307692,3.1269543464665412
"MOTOR VEHICLE THEFT, Minggu_4","Weekday, STREET",0.031,0.775,2.9026217228464417
"Weekday, MOTOR VEHICLE THEFT, Minggu_4",STREET,0.031,0.775,2.9026217228464417
"MOTOR VEHICLE THEFT, Minggu_4",STREET,0.031,0.775,2.9026217228464417
"ARREST_NO, MOTOR VEHICLE THEFT, Minggu_4","Weekday, STREET",0.03,0.7692307692307692,2.8810141169691725
"ARREST_NO, MOTOR VEHICLE THEFT, Minggu_4",STREET,0.03,0.7692307692307692,2.8810141169691725
"Weekday, Minggu_4, MOTOR VEHICLE THEFT, ARREST_NO",STREET,0.03,0.7692307692307692,2.8810141169691725
MOTOR VEHICLE THEFT,STREET,0.053,0.726027397260274,2.7192037350572056
MOTOR VEHICLE THEFT,"Weekday, STREET",0.053,0.726027397260274,2.7192037350572056
"Weekday, MOTOR VEHICLE THEFT",STREET,0.053,0.726027397260274,2.7192037350572056
"ARREST_NO, MOTOR VEHICLE THEFT","Weekday, STREET",0.049,0.7101449275362318,2.6597188297237144
"ARREST_NO, MOTOR VEHICLE THEFT",STREET,0.049,0.7101449275362318,2.6597188297237144
"Weekday, MOTOR VEHICLE THEFT, ARREST_NO",STREET,0.049,0.7101449275362318,2.6597188297237144
"Dini_Hari, STREET","ARREST_NO, Weekday, Minggu_4",0.033,0.9428571428571428,1.7428043306047
"Dini_Hari, Weekday, STREET","ARREST_NO, Minggu_4",0.033,0.9428571428571428,1.7428043306047
"Dini_Hari, STREET","ARREST_NO, Minggu_4",0.033,0.9428571428571428,1.7428043306047
"Dini_Hari, Weekday","ARREST_NO, Minggu_4",0.096,0.9056603773584906,1.674048756670038
Dini_Hari,"Weekday, Minggu_4, ARREST_NO",0.096,0.9056603773584906,1.674048756670038
Dini_Hari,"ARREST_NO, Minggu_4",0.096,0.9056603773584906,1.674048756670038
Pagi,"Weekday, Minggu_4, ARREST_NO",0.105,0.875,1.6173752310536043
"Pagi, Weekday","ARREST_NO, Minggu_4",0.105,0.875,1.6173752310536043
Pagi,"ARREST_NO, Minggu_4",0.105,0.875,1.6173752310536043
"Area_Tengah, Pagi","ARREST_NO, Minggu_4",0.034,0.8717948717948718,1.6114507796578037
"Area_Tengah, Pagi","Weekday, Minggu_4, ARREST_NO",0.034,0.8717948717948718,1.6114507796578037
"Area_Tengah, Pagi, Weekday","ARREST_NO, Minggu_4",0.034,0.8717948717948718,1.6114507796578037
"Dini_Hari, Area_Tengah","Weekday, Minggu_4, ARREST_NO",0.032,0.8648648648648649,1.5986411550182344
"Dini_Hari, Area_Tengah","ARREST_NO, Minggu_4",0.032,0.8648648648648649,1.5986411550182344
"Dini_Hari, Weekday, Area_Tengah","ARREST_NO, Minggu_4",0.032,0.8648648648648649,1.5986411550182344
"Dini_Hari, Weekday, ARREST_NO",Minggu_4,0.096,1.0,1.5873015873015872
"Dini_Hari, ARREST_NO","Weekday, Minggu_4",0.096,1.0,1.5873015873015872
"Dini_Hari, ARREST_NO, STREET",Minggu_4,0.033,1.0,1.5873015873015872
"Area_Tengah, Pagi","Weekday, Minggu_4",0.039,1.0,1.5873015873015872
"Area_Tengah, Pagi, Weekday, ARREST_NO",Minggu_4,0.034,1.0,1.5873015873015872
"Area_Tengah, Pagi, ARREST_NO","Weekday, Minggu_4",0.034,1.0,1.5873015873015872
"Dini_Hari, Weekday, Area_Tengah, ARREST_NO",Minggu_4,0.032,1.0,1.5873015873015872
"Dini_Hari, ARREST_NO, Area_Tengah","Weekday, Minggu_4",0.032,1.0,1.5873015873015872
"Area_Tengah, Pagi",Minggu_4,0.039,1.0,1.5873015873015872
"Dini_Hari, STREET",Minggu_4,0.035,1.0,1.5873015873015872
"Dini_Hari, Weekday",Minggu_4,0.106,1.0,1.5873015873015872
Dini_Hari,"Weekday, Minggu_4",0.106,1.0,1.5873015873015872
"Pagi, Weekday",Minggu_4,0.12,1.0,1.5873015873015872
"Dini_Hari, Area_Tengah",Minggu_4,0.037,1.0,1.5873015873015872
"Dini_Hari, ARREST_NO, STREET","Weekday, Minggu_4",0.033,1.0,1.5873015873015872
"Dini_Hari, ARREST_NO, Area_Tengah",Minggu_4,0.032,1.0,1.5873015873015872
"Area_Tengah, Pagi, ARREST_NO",Minggu_4,0.034,1.0,1.5873015873015872
"Pagi, THEFT",Minggu_4,0.032,1.0,1.5873015873015872
Pagi,"Weekday, Minggu_4",0.12,1.0,1.5873015873015872
"Dini_Hari, Weekday, STREET",Minggu_4,0.035,1.0,1.5873015873015872
"Dini_Hari, STREET","Weekday, Minggu_4",0.035,1.0,1.5873015873015872
"Area_Tengah, Pagi, Weekday",Minggu_4,0.039,1.0,1.5873015873015872
"Dini_Hari, Area_Tengah","Weekday, Minggu_4",0.037,1.0,1.5873015873015872
"Dini_Hari, Weekday, Area_Tengah",Minggu_4,0.037,1.0,1.5873015873015872
"Dini_Hari, ARREST_NO",Minggu_4,0.096,1.0,1.5873015873015872
"Pagi, ARREST_NO",Minggu_4,0.105,1.0,1.5873015873015872
"Pagi, Weekday, ARREST_NO",Minggu_4,0.105,1.0,1.5873015873015872
"Pagi, ARREST_NO","Weekday, Minggu_4",0.105,1.0,1.5873015873015872
"Pagi, Weekday, THEFT",Minggu_4,0.032,1.0,1.5873015873015872
"Dini_Hari, ARREST_NO, Weekday, STREET",Minggu_4,0.033,1.0,1.5873015873015872
Pagi,Minggu_4,0.12,1.0,1.5873015873015872
Dini_Hari,Minggu_4,0.106,1.0,1.5873015873015872
"Pagi, THEFT","Weekday, Minggu_4",0.032,1.0,1.5873015873015872
"STREET, Area_Utara",Minggu_4,0.03,0.7692307692307692,1.2210012210012209
"STREET, Area_Utara","Weekday, Minggu_4",0.03,0.7692307692307692,1.2210012210012209
"Weekday, STREET, Area_Utara",Minggu_4,0.03,0.7692307692307692,1.2210012210012209
"ROBBERY, Weekday",ARREST_NO,0.03,1.0,1.1862396204033214
ROBBERY,ARREST_NO,0.03,1.0,1.1862396204033214
"Weekday, THEFT, STREET",ARREST_NO,0.043,1.0,1.1862396204033214
"THEFT, STREET",ARREST_NO,0.043,1.0,1.1862396204033214
"THEFT, STREET","Weekday, ARREST_NO",0.043,1.0,1.1862396204033214
ROBBERY,"ARREST_NO, Weekday",0.03,1.0,1.1862396204033214
"APARTMENT, Area_Tengah, Weekday, ARREST_NO",Minggu_4,0.039,0.7358490566037736,1.1680143755615455
"Area_Tengah, ARREST_NO, APARTMENT","Weekday, Minggu_4",0.039,0.7358490566037736,1.1680143755615455
"Area_Tengah, APARTMENT, ARREST_NO",Minggu_4,0.039,0.7358490566037736,1.1680143755615455
"MOTOR VEHICLE THEFT, Minggu_4",ARREST_NO,0.039,0.975,1.1565836298932384
"MOTOR VEHICLE THEFT, Minggu_4","Weekday, ARREST_NO",0.039,0.975,1.1565836298932384
"Weekday, MOTOR VEHICLE THEFT, Minggu_4",ARREST_NO,0.039,0.975,1.1565836298932384
"Area_Lainnya, ARREST_NO, Weekday, BATTERY",Minggu_4,0.032,0.7272727272727273,1.1544011544011543
"Area_Lainnya, ARREST_NO, BATTERY",Minggu_4,0.032,0.7272727272727273,1.1544011544011543
"Area_Lainnya, ARREST_NO, BATTERY","Weekday, Minggu_4",0.032,0.7272727272727273,1.1544011544011543
"Area_Lainnya, BATTERY","Weekday, Minggu_4",0.042,0.7241379310344828,1.1494252873563218
"Area_Lainnya, Weekday, BATTERY",Minggu_4,0.042,0.7241379310344828,1.1494252873563218
"Area_Lainnya, BATTERY",Minggu_4,0.042,0.7241379310344828,1.1494252873563218
"Weekday, STREET, MOTOR VEHICLE THEFT, Minggu_4",ARREST_NO,0.03,0.9677419354838709,1.1479738261967627
"STREET, MOTOR VEHICLE THEFT, Minggu_4","Weekday, ARREST_NO",0.03,0.9677419354838709,1.1479738261967627
"MOTOR VEHICLE THEFT, STREET, Minggu_4",ARREST_NO,0.03,0.9677419354838709,1.1479738261967627
